rec_file,lig_asl,j
3FLY_prepared_nowater.maegz,res.ptype 'FLY',3FLY_gridgen
2D3U_prepared_nowater.maegz,res.ptype 'CCT',2D3U_gridgen
1AJQ_prepared_nowater.maegz,res.ptype 'SPA',1AJQ_gridgen
1E66_prepared_nowater.maegz,res.ptype 'HUX',1E66_gridgen
2QWE_prepared_nowater.maegz,res.ptype 'ZMR',2QWE_gridgen
2CET_prepared_nowater.maegz,res.ptype 'PGI',2CET_gridgen
1TOI_prepared_nowater.maegz,res.ptype 'HCI',1TOI_gridgen
1N2V_prepared_nowater.maegz,res.ptype 'BDI',1N2V_gridgen
1S39_prepared_nowater.maegz,res.ptype 'AQO',1S39_gridgen
2BAJ_prepared_nowater.maegz,res.ptype 'PQB',2BAJ_gridgen
1NDZ_prepared_nowater.maegz,res.ptype 'FR5',1NDZ_gridgen
1XGJ_prepared_nowater.maegz,res.ptype 'XXX',1XGJ_gridgen
1ZOE_prepared_nowater.maegz,res.ptype 'K25',1ZOE_gridgen
1PXO_prepared_nowater.maegz,res.ptype 'RPN',1PXO_gridgen
1SL3_prepared_nowater.maegz,res.ptype '170',1SL3_gridgen
1NVQ_prepared_nowater.maegz,res.ptype 'UCN',1NVQ_gridgen
2AOU_prepared_nowater.maegz,res.ptype 'CQA',2AOU_gridgen
1PBQ_prepared_nowater.maegz,res.ptype 'DK1',1PBQ_gridgen
1B8O_prepared_nowater.maegz,res.ptype 'IMH',1B8O_gridgen
1FTM_prepared_nowater.maegz,res.ptype 'AMQ',1FTM_gridgen
1FCZ_prepared_nowater.maegz,res.ptype 'LMU',1FCZ_gridgen
1F4G_prepared_nowater.maegz,res.ptype 'TP4',1F4G_gridgen
1SQA_prepared_nowater.maegz,res.ptype 'UI1',1SQA_gridgen
2AYR_prepared_nowater.maegz,res.ptype 'L4G',2AYR_gridgen
1IF7_prepared_nowater.maegz,res.ptype 'SBR',1IF7_gridgen
1NFY_prepared_nowater.maegz,res.ptype 'RTR',1NFY_gridgen
1MQ6_prepared_nowater.maegz,res.ptype 'XLD',1MQ6_gridgen
2BZ6_prepared_nowater.maegz,res.ptype '346',2BZ6_gridgen
2B7D_prepared_nowater.maegz,res.ptype 'C1B',2B7D_gridgen
1TRD_prepared_nowater.maegz,res.ptype 'PGH',1TRD_gridgen
1UTP_prepared_nowater.maegz,res.ptype 'PBN',1UTP_gridgen
1O3F_prepared_nowater.maegz,res.ptype '696',1O3F_gridgen
1Y6Q_prepared_nowater.maegz,res.ptype 'TDI',1Y6Q_gridgen
1ELB_prepared_nowater.maegz,res.ptype '0Z4',1ELB_gridgen
1K9S_prepared_nowater.maegz,res.ptype 'FM2',1K9S_gridgen
1FLR_prepared_nowater.maegz,res.ptype 'FLU',1FLR_gridgen
10GS_prepared_nowater.maegz,res.ptype 'VWW',10GS_gridgen
3STD_prepared_nowater.maegz,res.ptype 'MQ0',3STD_gridgen
1ZVX_prepared_nowater.maegz,res.ptype 'FIN',1ZVX_gridgen
2DRC_prepared_nowater.maegz,res.ptype 'MTX',2DRC_gridgen
2I0D_prepared_nowater.maegz,res.ptype 'MUT',2I0D_gridgen
1RNT_prepared_nowater.maegz,res.ptype '2GP',1RNT_gridgen
1H1Q_prepared_nowater.maegz,res.ptype '2A6',1H1Q_gridgen
2GMX_prepared_nowater.maegz,res.ptype '877',2GMX_gridgen
2QBS_prepared_nowater.maegz,res.ptype '024',2QBS_gridgen
2ZFF_prepared_nowater.maegz,res.ptype '53U',2ZFF_gridgen
3FLY_prepared_nowater.maegz,res.ptype 'FLY',3FLY_gridgen
3FMH_prepared_nowater.maegz,res.ptype '533',3FMH_gridgen
3FMK_prepared_nowater.maegz,res.ptype 'FMK',3FMK_gridgen
4DJW_prepared_nowater.maegz,res.ptype '0KP',4DJW_gridgen
4GIH_prepared_nowater.maegz,res.ptype '0X5',4GIH_gridgen
4HW3_prepared_nowater.maegz,res.ptype '19G',4HW3_gridgen
1S64_prepared_nowater.maegz,res.ptype '778',1S64_gridgen
1SA4_prepared_nowater.maegz,res.ptype 'JAN',1SA4_gridgen
1SA5_prepared_nowater.maegz,res.ptype 'BMV',1SA5_gridgen
2XBV_prepared_nowater.maegz,res.ptype 'XBV',2XBV_gridgen
2XBW_prepared_nowater.maegz,res.ptype '455',2XBW_gridgen
2XBX_prepared_nowater.maegz,res.ptype 'RR8',2XBX_gridgen
2XBY_prepared_nowater.maegz,res.ptype '63C',2XBY_gridgen
2XC0_prepared_nowater.maegz,res.ptype '8NC',2XC0_gridgen
2XC4_prepared_nowater.maegz,res.ptype 'IVK',2XC4_gridgen
2XC5_prepared_nowater.maegz,res.ptype 'OYJ',2XC5_gridgen
